id,first_name,last_name
1,Colleen,Hoover
2,Stephen,King
3,Neil,Gaiman
4,Paulo,Coelho
5,Khaled,Hosseini
6,Jodi,Picoult
7,Nicholas,Sparks
8,Michael,Connelly
9,James,Patterson
10,Lisa,Gardner
11,Gillian,Flynn
12,Toni,Morrison
13,Celeste,Ng
14,Anthony,Doerr
15,Kate,Quinn
16,Lisa,Jewell
17,Harlan,Coben
18,David,Baldacci
19,Brad,Thor
20,Vince,Flynn
21,Diana,Gabaldon
22,Ken,Follett
23,Bernard,Cornwell
24,Patrick,O'Brian
25,Wilbur,Smith
26,Clive,Cussler
27,Daniel,Silva
28,John,Grisham
29,Scott,Turow
30,Linda,Fairstein
31,Karin,Slaughter
32,Tess,Gerritsen
33,Patricia,Cornwell
34,Ann,Cleeves
35,Peter,James
36,Elly,Griffiths
37,Sophie,Hannah
38,Kate,Atkinson
39,Val,McDermid
40,Ian,Rankin
41,Alexander,McCall Smith
42,William,Boyd
43,Sebastian,Faulks
44,Kazuo,Ishiguro
45,Ian,McEwan
46,Salman,Rushdie
47,Zadie,Smith
48,Martin,Amis
49,Julian,Barnes
50,John,Banville
51,Donna,Tartt
52,Jeffrey,Eugenides
53,Jonathan,Franzen
54,Don,DeLillo
55,Cormac,McCarthy
56,Annie,Proulx
57,Barbara,Kingsolver
58,Ann,Patchett
59,Elizabeth,Strout
60,Alice,Munro
61,Margaret,Atwood
62,Richard,Russo
63,Richard,Ford
64,E.L.,James
65,Sylvia,Day
66,Nora,Roberts
67,Julia,Quinn
68,Lisa,Kleypas
69,Eloisa,James
70,Sarah,MacLean
71,Courtney,Milan
72,Nalini,Singh
73,Christine,Feehan
74,Sherrilyn,Kenyon
75,J.R.,Ward
76,Laurell K.,Hamilton
77,Charlaine,Harris
78,Kim,Harrison
79,Patricia,Briggs
80,Ilona,Andrews
81,Kevin,Kwan
82,Amor,Towles
83,Anthony,Horowitz
84,Lee,Child
85,Andy,Weir
86,Blake,Crouch
87,Michael,Crichton
88,Robin,Cook
89,Jeffery,Deaver
90,Linwood,Barclay
91,Liane,Moriarty
92,Sally,Rooney
93,Bernardine,Evaristo
94,Oyinkan,Braithwaite
95,Chimamanda Ngozi,Adichie
96,NoViolet,Bulawayo
97,Imbolo,Mbue
98,Yaa,Gyasi
99,Tayari,Jones
100,Jason,Reynolds
101,R.F.,Kuang
