id,ISBN,title,genre,language,imprint,release_date
1,978-1-5011-8350-3,It Ends with Us,Romance,English,Atria Books,2016-08-02
2,978-1-5011-8351-0,Ugly Love,Romance,English,Atria Books,2014-08-05
3,978-1-5011-8352-7,Verity,Thriller,English,Grand Central Publishing,2018-12-10
4,978-1-6680-1234-5,It Starts with Us,Romance,English,Atria Books,2022-10-18
5,978-1-6680-2345-6,November 9,Romance,English,Atria Books,2015-11-10
6,978-1-6680-3456-7,Confess,Romance,English,Atria Books,2015-03-10
7,978-1-6680-4567-8,Reminders of Him,Romance,English,Montlake Romance,2022-01-18
8,978-1-6680-5678-9,Heart Bones,Romance,English,Montlake Romance,2020-09-01
9,978-0-3850-0151-3,The Shining,Horror,English,Doubleday,1977-01-28
10,978-0-3850-0334-0,It,Horror,English,Viking,1986-09-15
11,978-0-6700-3700-6,The Stand,Horror,English,Doubleday,1978-10-03
12,978-1-9821-8076-0,Fairy Tale,Fantasy,English,Scribner,2022-09-06
13,978-1-9821-7440-0,Later,Thriller,English,Hard Case Crime,2021-03-02
14,978-1-5011-9382-3,Billy Summers,Thriller,English,Scribner,2021-08-03
15,978-1-6680-6789-0,Holly,Thriller,English,Scribner,2023-09-05
16,978-1-6680-7890-1,You Like It Darker,Horror,English,Scribner,2024-05-21
17,978-1-6680-8901-2,The Life of Chuck,Drama,English,Scribner,2025-06-03
18,978-0-0606-1639-4,American Gods,Fantasy,English,William Morrow,2001-06-19
19,978-0-0606-1952-4,Good Omens,Fantasy,English,Workman Publishing,1990-05-01
20,978-0-0606-2025-7,Coraline,Fantasy,English,HarperCollins,2002-07-02
21,978-0-0606-2026-4,Anansi Boys,Fantasy,English,William Morrow,2005-09-20
22,978-0-0606-2027-1,The Graveyard Book,Fantasy,English,HarperCollins,2008-09-30
23,978-1-6680-9012-3,Norse Mythology,Mythology,English,W.W. Norton,2017-02-07
24,978-0-0622-5274-3,The Alchemist,Fiction,English,HarperOne,1988-01-01
25,978-0-0622-5275-0,Eleven Minutes,Fiction,English,HarperCollins,2003-04-01
26,978-0-0622-5276-7,The Zahir,Fiction,English,HarperCollins,2005-04-26
27,978-0-0622-5277-4,Brida,Fiction,English,HarperOne,2008-08-19
28,978-1-5264-3885-7,The Kite Runner,Fiction,English,Riverhead Books,2003-05-29
29,978-1-5264-3886-4,A Thousand Splendid Suns,Fiction,English,Riverhead Books,2007-05-22
30,978-1-5264-3887-1,And the Mountains Echoed,Fiction,English,Riverhead Books,2013-05-21
31,978-0-7434-5453-1,My Sister's Keeper,Fiction,English,Atria Books,2004-04-06
32,978-0-7434-5454-8,The Storyteller,Fiction,English,Atria Books,2013-02-26
33,978-0-7434-5455-5,Small Great Things,Fiction,English,Ballantine Books,2016-10-11
34,978-1-9848-0012-3,Wish You Were Here,Fiction,English,Ballantine Books,2021-11-30
35,978-1-9848-0013-0,Mad Honey,Fiction,English,Ballantine Books,2022-10-04
36,978-1-9848-0014-7,By Any Other Name,Fiction,English,Ballantine Books,2024-09-17
37,978-0-4462-3523-1,The Notebook,Romance,English,Warner Books,1996-10-01
38,978-0-4462-3524-8,A Walk to Remember,Romance,English,Warner Books,1999-10-01
39,978-0-4462-3525-5,The Lucky One,Romance,English,Grand Central Publishing,2008-09-30
40,978-0-4462-3526-2,Safe Haven,Romance,English,Grand Central Publishing,2010-09-14
41,978-1-5387-1892-3,The Longest Ride,Romance,English,Grand Central Publishing,2013-09-17
42,978-1-5387-1893-0,Every Breath,Romance,English,Grand Central Publishing,2018-10-16
43,978-1-5387-1894-7,The Return,Romance,English,Grand Central Publishing,2020-09-29
44,978-1-5387-1895-4,Dreamland,Romance,English,Random House,2022-09-20
45,978-0-3160-6034-0,The Lincoln Lawyer,Mystery,English,"Little, Brown",2005-10-17
46,978-0-3160-6035-7,The Brass Verdict,Mystery,English,"Little, Brown",2008-10-14
47,978-0-3160-6036-4,The Reversal,Mystery,English,"Little, Brown",2010-10-26
48,978-0-3160-6037-1,The Gods of Guilt,Mystery,English,"Little, Brown",2013-12-03
49,978-0-3160-6038-8,The Dark Hours,Mystery,English,"Little, Brown",2021-11-09
50,978-0-3160-6039-5,The Desert Star,Mystery,English,"Little, Brown",2022-11-08
51,978-1-5387-2345-6,The Waiting,Mystery,English,"Little, Brown",2024-10-15
