id,book_id,print_run,quantity_in_stock,warehouse_location,unit_production_cost,reorder_point
1,1,Limited Edition,28288,"Seattle, WA",11.91,3592
2,2,Third Edition,14627,"Phoenix, AZ",4.26,3721
3,3,First Edition,19062,"Denver, CO",10.04,2726
4,4,First Edition,14951,"Atlanta, GA",17.76,648
5,5,First Edition,13897,"Los Angeles, CA",17.15,1324
6,6,Special Edition,17245,"Los Angeles, CA",7.59,263
7,7,Paperback Edition,49456,"Atlanta, GA",5.22,3314
8,8,Mass Market Edition,46615,"Dallas, TX",10.25,3101
9,9,First Edition,26522,"Nashville, TN",9.26,3966
10,10,First Edition,21016,"Denver, CO",9.15,3513
11,11,Limited Edition,42452,"Atlanta, GA",6.99,3518
12,12,First Edition,21784,"Chicago, IL",14.92,3969
13,13,Special Edition,45694,"New York, NY",3.87,1067
14,14,Second Edition,29052,"Denver, CO",8.71,844
15,15,Paperback Edition,20834,"New York, NY",5.93,1577
16,16,First Edition,33955,"Memphis, TN",10.72,1788
17,17,Special Edition,23396,"New York, NY",13.77,1409
18,18,Second Edition,7237,"Chicago, IL",6.47,1621
19,19,Mass Market Edition,10518,"Memphis, TN",5.25,4247
20,20,Paperback Edition,49943,"Denver, CO",14.28,3877
21,21,Limited Edition,37494,"Denver, CO",7.51,2789
22,22,Second Edition,29320,"Memphis, TN",9.77,2680
23,23,Special Edition,18501,"Denver, CO",3.37,4356
24,24,First Edition,20842,"Seattle, WA",9.5,666
25,25,Third Edition,19313,"Memphis, TN",12.49,939
26,26,Mass Market Edition,39433,"Phoenix, AZ",8.46,4954
27,27,Mass Market Edition,48925,"Nashville, TN",9.47,4883
28,28,Limited Edition,12836,"New York, NY",11.88,4307
29,29,Second Edition,4554,"Seattle, WA",4.1,3013
30,30,Limited Edition,6026,"Phoenix, AZ",12.51,520
31,31,Second Edition,46874,"Seattle, WA",17.86,4493
32,32,Mass Market Edition,40464,"Chicago, IL",8.14,2517
33,33,Paperback Edition,27289,"New York, NY",13.02,628
34,34,Special Edition,41845,"New York, NY",3.52,974
35,35,Mass Market Edition,44958,"Atlanta, GA",6.9,1431
36,36,Third Edition,5841,"Denver, CO",12.79,3065
37,37,Third Edition,43495,"Atlanta, GA",4.5,894
38,38,Third Edition,37129,"Atlanta, GA",12.47,2890
39,39,Special Edition,8875,"Phoenix, AZ",3.95,3668
40,40,Mass Market Edition,24212,"Nashville, TN",8.12,1676
41,41,Second Edition,22895,"Seattle, WA",5.48,1326
42,42,Second Edition,5557,"Los Angeles, CA",15.59,1028
43,43,Mass Market Edition,35874,"Phoenix, AZ",3.09,2958
44,44,Special Edition,41003,"Chicago, IL",11.76,1463
45,45,Second Edition,12351,"Denver, CO",15.04,1556
46,46,Limited Edition,29183,"Nashville, TN",8.87,2145
47,47,Paperback Edition,40515,"Los Angeles, CA",14.16,3877
48,48,Second Edition,35496,"Dallas, TX",7.3,4042
49,49,Special Edition,13215,"New York, NY",13.01,4872
50,50,Paperback Edition,30756,"Los Angeles, CA",14.56,4319
51,51,Mass Market Edition,27937,"Chicago, IL",15.16,1333
52,52,Special Edition,16884,"Nashville, TN",12.44,3240
53,53,Mass Market Edition,7223,"Phoenix, AZ",15.69,2535
54,54,First Edition,11006,"Los Angeles, CA",9.46,4405
55,55,Second Edition,29170,"Memphis, TN",17.17,2018
56,56,Special Edition,30065,"New York, NY",16.92,3598
57,57,First Edition,26482,"Phoenix, AZ",8.3,3363
58,58,First Edition,25070,"Dallas, TX",2.94,1011
59,59,Special Edition,47338,"New York, NY",14.77,1327
60,60,First Edition,19300,"Seattle, WA",13.29,1336
61,61,Special Edition,46738,"Seattle, WA",9.45,243
62,62,First Edition,1745,"Los Angeles, CA",5.84,1424
63,63,Mass Market Edition,48160,"Denver, CO",10.68,1110
64,64,Special Edition,19381,"Dallas, TX",7.17,591
65,65,Second Edition,28013,"Denver, CO",9.59,1108
66,66,Special Edition,33256,"Denver, CO",10.81,4421
67,67,Mass Market Edition,16355,"Chicago, IL",7.01,212
68,68,Mass Market Edition,23622,"Dallas, TX",11.35,1734
69,69,Limited Edition,44292,"Memphis, TN",10.61,3154
70,70,First Edition,34975,"Phoenix, AZ",10.36,4358
71,71,Mass Market Edition,1832,"Atlanta, GA",16.04,556
72,72,Limited Edition,25854,"New York, NY",6.43,333
73,73,Third Edition,4927,"New York, NY",6.24,1049
74,74,Special Edition,38635,"New York, NY",4.57,3086
75,75,Mass Market Edition,22687,"Chicago, IL",15.37,4006
76,76,Limited Edition,31861,"Chicago, IL",15.08,716
77,77,Limited Edition,30494,"Nashville, TN",7.05,558
