id,book_id,format,retailer_id,store_id,date,price,quantity_sold,revenue
1,199,Mass Market Paperback,2,195,2024-05-15,11.82,37,437.34
2,176,Mass Market Paperback,5,368,2024-03-31,11.54,31,357.74
3,260,Paperback,2,186,2024-09-06,18.19,36,654.84
4,151,Audiobook,2,188,2023-07-19,21.27,17,361.59
5,172,Paperback,4,315,2023-07-02,15.77,48,756.96
6,216,eBook,9,475,2024-11-09,9.81,19,186.39
7,61,Hardcover,1,73,2025-08-21,33.65,38,1278.7
8,242,Mass Market Paperback,5,391,2024-02-03,9.47,44,416.68
9,272,Audiobook,2,141,2024-09-03,20.53,10,205.3
10,103,Audiobook,2,147,2024-12-02,29.86,30,895.8
11,162,Hardcover,2,182,2024-01-05,29.87,41,1224.67
12,161,Hardcover,2,173,2023-04-29,29.51,14,413.14
13,296,Paperback,1,91,2025-12-21,16.44,49,805.56
14,67,Audiobook,5,393,2025-06-07,24.02,31,744.62
15,3,Mass Market Paperback,1,15,2023-03-19,9.79,24,234.96
16,165,Paperback,3,255,2025-12-23,14.08,1,14.08
17,116,eBook,5,393,2025-09-26,10.17,7,71.19
18,258,Paperback,4,306,2024-09-18,14.32,3,42.96
19,149,Mass Market Paperback,7,445,2025-07-22,11.38,22,250.36
20,69,Audiobook,2,169,2024-12-02,23.58,13,306.54
21,207,Paperback,3,217,2023-02-09,15.11,9,135.99
22,12,Paperback,1,39,2025-10-30,14.61,46,672.06
23,193,Mass Market Paperback,1,50,2024-06-07,11.48,39,447.72
24,56,Hardcover,7,455,2024-11-24,31.89,27,861.03
25,195,Mass Market Paperback,2,157,2023-09-11,10.0,45,450.0
26,106,eBook,4,277,2023-01-20,10.94,7,76.58
27,311,Paperback,10,524,2025-09-19,16.08,7,112.56
28,61,Hardcover,3,204,2024-08-01,32.84,32,1050.88
29,312,eBook,5,367,2024-02-14,13.81,13,179.53
30,210,Paperback,3,213,2025-08-20,14.19,32,454.08
31,247,Paperback,1,92,2024-11-08,14.0,43,602.0
32,57,Mass Market Paperback,1,93,2026-02-10,11.67,10,116.7
33,262,Hardcover,3,237,2023-06-03,34.04,42,1429.68
34,234,eBook,2,179,2025-07-24,11.24,7,78.68
35,21,eBook,7,437,2024-08-18,13.6,21,285.6
36,60,Hardcover,2,175,2023-07-14,25.09,9,225.81
37,169,Audiobook,1,96,2025-01-02,29.54,18,531.72
38,191,Paperback,8,468,2024-12-02,14.56,26,378.56
39,140,Audiobook,2,171,2025-02-28,27.99,42,1175.58
40,58,Hardcover,1,107,2023-09-29,34.81,11,382.91
41,214,Audiobook,7,449,2026-03-18,28.01,44,1232.44
42,93,Audiobook,1,30,2026-01-08,27.78,40,1111.2
43,67,Audiobook,7,452,2025-09-16,21.12,27,570.24
44,24,eBook,3,230,2023-05-10,12.57,1,12.57
45,174,Mass Market Paperback,1,98,2025-11-29,11.74,40,469.6
46,222,Audiobook,5,395,2024-06-16,23.45,44,1031.8
47,77,Mass Market Paperback,2,161,2026-02-17,9.21,42,386.82
48,259,Audiobook,10,504,2025-08-19,28.68,5,143.4
49,165,eBook,10,520,2024-05-08,14.78,4,59.12
50,115,Audiobook,1,81,2026-02-01,24.02,16,384.32
51,236,Mass Market Paperback,8,458,2025-06-28,10.78,32,344.96
52,162,Audiobook,1,106,2023-09-01,27.44,2,54.88
53,207,Hardcover,1,94,2025-04-24,30.56,1,30.56
54,310,Mass Market Paperback,8,468,2024-09-15,11.24,42,472.08
55,175,Hardcover,5,340,2025-10-22,33.16,30,994.8
56,287,Mass Market Paperback,5,373,2026-03-19,10.88,43,467.84
57,232,Hardcover,1,3,2023-08-22,32.58,15,488.7
58,175,eBook,1,109,2025-10-13,11.82,24,283.68
59,24,Audiobook,6,420,2023-12-03,21.39,46,983.94
60,55,Mass Market Paperback,6,403,2024-06-04,9.77,8,78.16
61,111,Paperback,6,425,2025-07-25,17.57,7,122.99
62,24,Audiobook,10,517,2023-09-10,24.56,38,933.28
63,69,Hardcover,7,444,2025-10-18,30.29,4,121.16
64,300,Mass Market Paperback,2,178,2025-12-13,12.11,12,145.32
65,66,Audiobook,4,330,2023-08-01,26.57,39,1036.23
66,259,Audiobook,3,255,2025-02-26,29.79,45,1340.55
67,141,eBook,2,137,2025-03-25,14.78,29,428.62
68,71,Mass Market Paperback,10,525,2025-04-25,11.79,48,565.92
69,154,eBook,3,223,2026-01-26,12.97,36,466.92
70,103,Mass Market Paperback,5,354,2024-03-05,11.85,44,521.4
71,68,Mass Market Paperback,5,331,2023-12-31,11.16,41,457.56
72,60,Mass Market Paperback,6,428,2024-12-22,10.91,37,403.67
73,274,Audiobook,1,110,2024-08-08,28.07,34,954.38
74,13,Paperback,3,205,2025-02-19,14.26,4,57.04
75,137,eBook,1,64,2023-11-26,12.77,10,127.7
76,152,Mass Market Paperback,1,105,2024-02-22,9.12,29,264.48
77,288,Mass Market Paperback,4,295,2025-05-15,10.55,33,348.15
78,25,Audiobook,4,321,2025-02-20,24.16,44,1063.04
79,283,Hardcover,7,454,2024-08-26,32.43,13,421.59
80,116,eBook,3,202,2025-07-26,13.28,35,464.8
81,100,Audiobook,1,77,2024-08-25,21.76,44,957.44
82,96,Mass Market Paperback,7,439,2023-12-22,9.47,3,28.41
83,143,eBook,4,262,2026-02-13,8.9,38,338.2
84,3,Audiobook,1,41,2024-11-07,27.09,10,270.9
85,79,Mass Market Paperback,4,309,2024-10-22,9.19,41,376.79
86,252,Mass Market Paperback,4,326,2026-03-18,10.42,46,479.32
87,270,Paperback,2,164,2024-03-26,16.59,33,547.47
88,213,Mass Market Paperback,3,227,2026-01-17,10.6,23,243.8
89,110,eBook,9,487,2025-06-13,10.52,14,147.28
90,288,Hardcover,8,457,2026-03-18,26.14,23,601.22
91,124,Hardcover,5,391,2024-05-14,31.82,21,668.22
92,59,eBook,1,26,2025-03-01,11.77,19,223.63
93,265,Mass Market Paperback,10,499,2025-02-06,12.2,29,353.8
94,23,Paperback,1,99,2024-08-30,15.59,6,93.54
95,86,Mass Market Paperback,3,216,2026-01-06,9.02,5,45.1
96,110,Hardcover,7,446,2025-09-16,27.05,45,1217.25
97,37,Hardcover,1,39,2023-11-11,29.58,22,650.76
98,45,Hardcover,1,73,2023-05-31,26.77,17,455.09
99,295,eBook,6,415,2024-08-10,10.84,29,314.36
100,222,Hardcover,1,7,2024-11-01,28.89,8,231.12
101,33,Hardcover,1,109,2023-04-04,28.57,33,942.81
102,149,Mass Market Paperback,7,449,2024-09-09,9.34,49,457.66
103,196,Hardcover,3,226,2025-03-20,29.73,35,1040.55
104,70,Mass Market Paperback,2,148,2025-03-11,10.17,41,416.97
105,153,Hardcover,2,145,2025-02-03,30.53,36,1099.08
106,64,Hardcover,1,88,2023-03-27,30.72,26,798.72
107,157,eBook,10,525,2024-03-06,9.47,42,397.74
108,73,Paperback,2,199,2023-11-26,15.09,17,256.53
109,59,Mass Market Paperback,9,473,2024-01-07,12.4,49,607.6
110,282,eBook,1,101,2024-07-27,12.69,17,215.73
