id,retailer_id,city,state,region,zip,country
1,1,Trenton,NJ,Northeast,08696,US
2,1,Seattle,WA,Northwest,98172,US
3,1,Columbus,OH,Midwest,43269,US
4,1,Cambridge,MA,Northeast,02172,US
5,1,Kansas City,KS,Midwest,66196,US
6,1,Colorado Springs,CO,Mountain,80975,US
7,1,Cincinnati,OH,Midwest,45255,US
8,1,Portland,OR,Northwest,97275,US
9,1,Providence,RI,Northeast,02952,US
10,1,Lincoln,NE,Midwest,68547,US
11,1,Honolulu,HI,West,96829,US
12,1,Buffalo,NY,Northeast,14218,US
13,1,San Diego,CA,West,92166,US
14,1,Allentown,PA,Northeast,18164,US
15,1,Baltimore,MD,Northeast,21212,US
16,1,Syracuse,NY,Northeast,13297,US
17,1,Salt Lake City,UT,Mountain,84107,US
18,1,Philadelphia,PA,Northeast,19115,US
19,1,Fort Lauderdale,FL,Southeast,33320,US
20,1,Fort Wayne,IN,Midwest,46881,US
21,1,Huntsville,AL,Southeast,35821,US
22,1,Chicago,IL,Midwest,60688,US
23,1,Miami,FL,Southeast,33155,US
24,1,Los Angeles,CA,West,90077,US
25,1,Naperville,IL,Midwest,60548,US
26,1,Greensboro,NC,Southeast,27450,US
27,1,Cheyenne,WY,Mountain,82049,US
28,1,San Francisco,CA,West,94178,US
29,1,Billings,MT,Mountain,59160,US
30,1,Detroit,MI,Midwest,48268,US
31,1,Portland,ME,Northeast,04133,US
32,1,Manchester,NH,Northeast,03171,US
33,1,Des Moines,IA,Midwest,50302,US
34,1,Worcester,MA,Northeast,01688,US
35,1,Boston,MA,Northeast,02193,US
36,1,Albany,NY,Northeast,12215,US
37,1,Orlando,FL,Southeast,32888,US
38,1,Newark,NJ,Northeast,07169,US
39,1,Las Vegas,NV,West,89197,US
40,1,Toledo,OH,Midwest,43635,US
41,1,Kansas City,MO,Midwest,64199,US
42,1,Charleston,SC,Southeast,29483,US
43,1,Virginia Beach,VA,Southeast,23494,US
44,1,Jacksonville,FL,Southeast,32113,US
45,1,Little Rock,AR,South,72238,US
46,1,El Paso,TX,Southwest,79956,US
47,1,Jersey City,NJ,Northeast,07322,US
48,1,Omaha,NE,Midwest,68159,US
49,1,Madison,WI,Midwest,53701,US
50,1,Louisville,KY,Southeast,40293,US
51,1,Anchorage,AK,West,99593,US
52,1,Houston,TX,South,77034,US
53,1,Santa Fe,NM,Southwest,87565,US
54,1,Pittsburgh,PA,Northeast,15298,US
55,1,Indianapolis,IN,Midwest,46223,US
56,1,Tampa,FL,Southeast,33665,US
57,1,Minneapolis,MN,Midwest,55414,US
58,1,Saint Paul,MN,Midwest,55181,US
59,1,Cedar Rapids,IA,Midwest,52439,US
60,1,Wichita,KS,Midwest,67282,US
61,1,Tulsa,OK,South,74165,US
62,1,Hartford,CT,Northeast,06178,US
63,1,Raleigh,NC,Southeast,27626,US
64,1,Sacramento,CA,West,95833,US
65,1,Brooklyn,NY,Northeast,11248,US
66,1,Denver,CO,Mountain,80298,US
67,1,St. Louis,MO,Midwest,63121,US
68,1,Scottsdale,AZ,Southwest,85320,US
69,1,Springfield,IL,Midwest,62800,US
70,1,New Orleans,LA,South,70179,US
